Event;Start;End
Deployment/Recover time ;9.7.2025 13:40:00;10.07.2025 15:30:00
Bridge up/down;9.7.2025 13:40:00;10.7.2025 15:00:00
Salinity_ph_sample;9.7.2025 13:47:00;10.7.2025 13:52:00
Canister_sample_start;9.7.2025 14:03:00;9.7.2025 14:03:00
Boat_close;9.7.2025 14:21:00;9.7.2025 14:21:00
Canister_sample_stop;9.7.2025 14:43:00;9.7.2025 14:43:00
Boat_close;9.7.2025 19:25:00;9.7.2025 19:27:00
Boat_close;9.7.2025 19:30:00;9.7.2025 19:31:00
Boat_close;10.7.2025 08:17:00;10.7.2025 08:18:00
Canister_sample_start;10.7.2025 08:22:00;10.7.2025 08:24:00
Boat_next_halobates ;10.7.2025 08:48:00;10.7.2025 08:48:00
Canister_sample_stop;10.7.2025 08:59:00;10.7.2025 08:59:00
Boat_next_halobates ;10.7.2025 09:01:00;10.7.2025 09:01:00
Boat_next_halobates ;10.7.25 14:35:00;10.7.2025 14:35:00
Salinity_sample;10.7.2025 14:51:00;10.7.2025 14:51:00
